District,District Name,School,School Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
280,Giles County,45,Giles Co High School,English Learners,4,*,*,*,*,*,*,*,*,*,*
280,Giles County,45,Giles Co High School,Students with Disabilities,9,*,*,*,*,*,*,*,*,*,*
280,Giles County,84,Richland School,All Students,83,99,19.4,18.6,19.5,19.9,19.5,31,37.3,37,44.6
280,Giles County,84,Richland School,Black/Hispanic/Native American,2,*,*,*,*,*,*,*,*,*,*
280,Giles County,84,Richland School,Economically Disadvantaged,29,100,18.7,18.3,18.7,19.7,19,11,37.9,15,51.7
280,Giles County,84,Richland School,Students with Disabilities,9,*,*,*,*,*,*,*,*,*,*
290,Grainger County,8,Grainger High School,All Students,182,96,19,18.4,19.6,19.7,19.3,75,41.2,81,44.5
290,Grainger County,8,Grainger High School,Black/Hispanic/Native American,13,100,14,16.8,17.2,17.4,16.6,1,7.7,10,76.9
290,Grainger County,8,Grainger High School,Economically Disadvantaged,71,99,17.3,17.5,18.7,18.5,18.1,20,28.2,39,54.9
290,Grainger County,8,Grainger High School,English Learners,3,*,*,*,*,*,*,*,*,*,*
290,Grainger County,8,Grainger High School,Students with Disabilities,16,100,12.3,14.5,13.4,14.9,13.9,1,6.3,15,93.8
290,Grainger County,30,Washburn School,All Students,35,100,16,16.1,17.1,17.2,16.7,8,22.9,25,71.4
290,Grainger County,30,Washburn School,Economically Disadvantaged,12,100,15.8,16,16.9,16.8,16.5,3,25,9,75
290,Grainger County,30,Washburn School,Students with Disabilities,5,*,*,*,*,*,*,*,*,*,*
290,Grainger County,32,Grainger Academy,All Students,9,*,*,*,*,*,*,*,*,*,*
290,Grainger County,32,Grainger Academy,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
290,Grainger County,32,Grainger Academy,Economically Disadvantaged,6,*,*,*,*,*,*,*,*,*,*
300,Greene County,28,Chuckey Doak High School,All Students,118,99,17.6,18.7,18.9,18.9,18.7,36,30.5,63,53.4
300,Greene County,28,Chuckey Doak High School,Black/Hispanic/Native American,10,91,16.7,18.1,17.2,17.7,17.5,3,30,7,70
300,Greene County,28,Chuckey Doak High School,Economically Disadvantaged,42,98,15.9,17.4,17.5,17.9,17.3,9,21.4,30,71.4
300,Greene County,28,Chuckey Doak High School,English Learners,4,*,*,*,*,*,*,*,*,*,*
300,Greene County,28,Chuckey Doak High School,Students with Disabilities,14,100,11.9,16.2,14.9,15.3,14.7,**,**,**,**
300,Greene County,70,North Greene High School,All Students,92,99,17.9,18.1,19.2,19,18.6,31,33.7,48,52.2
300,Greene County,70,North Greene High School,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
300,Greene County,70,North Greene High School,Economically Disadvantaged,33,100,16.7,17.8,17.9,18.1,17.7,10,30.3,21,63.6
300,Greene County,70,North Greene High School,Students with Disabilities,13,93,11.2,14.8,12.1,15.1,13.3,**,**,**,**
300,Greene County,80,South Greene High School,All Students,126,100,18.2,18.2,19.5,19,18.9,42,33.3,62,49.2
300,Greene County,80,South Greene High School,Black/Hispanic/Native American,6,*,*,*,*,*,*,*,*,*,*
300,Greene County,80,South Greene High School,Economically Disadvantaged,49,100,16.9,17.2,18.7,18.9,18.1,14,28.6,28,57.1
300,Greene County,80,South Greene High School,Students with Disabilities,19,100,13.5,14.5,16.2,15.9,15.1,**,**,**,**
300,Greene County,95,West Greene High School,All Students,128,100,19.2,17.7,19.2,19.4,19,44,34.4,64,50
300,Greene County,95,West Greene High School,Black/Hispanic/Native American,8,*,*,*,*,*,*,*,*,*,*
300,Greene County,95,West Greene High School,Economically Disadvantaged,45,100,18.2,17.1,17.2,18.4,17.9,10,22.2,28,62.2
300,Greene County,95,West Greene High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
300,Greene County,95,West Greene High School,Students with Disabilities,13,100,13.8,14.9,14.5,15.4,14.8,1,7.7,12,92.3
301,Greeneville,20,Greeneville High School,All Students,204,100,21.1,21.7,22.5,21.9,21.9,116,56.9,52,25.5
301,Greeneville,20,Greeneville High School,Black/Hispanic/Native American,37,100,17.1,18.9,19.7,19.2,18.7,12,32.4,18,48.6
301,Greeneville,20,Greeneville High School,Economically Disadvantaged,49,100,17.1,18.9,19.4,19.1,18.7,19,38.8,25,51
301,Greeneville,20,Greeneville High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
301,Greeneville,20,Greeneville High School,Students with Disabilities,19,100,16.4,18.7,17.6,17.9,17.8,4,21.1,11,57.9
310,Grundy County,25,Grundy County High School,All Students,129,96,16.6,16.8,17.6,17.5,17.2,25,19.4,87,67.4
310,Grundy County,25,Grundy County High School,Black/Hispanic/Native American,2,*,*,*,*,*,*,*,*,*,*
310,Grundy County,25,Grundy County High School,Economically Disadvantaged,52,93,15.5,15.9,16.4,16.5,16.3,4,7.7,38,73.1
310,Grundy County,25,Grundy County High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
310,Grundy County,25,Grundy County High School,Students with Disabilities,18,90,12.4,14.9,14.5,15.7,14.5,1,5.6,17,94.4
320,Hamblen County,42,Morristown East High,All Students,325,98,18.6,18.9,19.8,18.9,19.2,107,32.9,170,52.3
320,Hamblen County,42,Morristown East High,Black/Hispanic/Native American,95,99,16.8,18.2,17.9,18.1,17.9,22,23.2,62,65.3
320,Hamblen County,42,Morristown East High,Economically Disadvantaged,149,99,16.6,17.3,17.8,17.4,17.4,29,19.5,100,67.1
320,Hamblen County,42,Morristown East High,English Learners,19,100,13.2,15.8,14.2,15.2,14.8,**,**,**,**
320,Hamblen County,42,Morristown East High,Students with Disabilities,30,100,12.4,15.1,13.5,14.3,13.9,**,**,**,**
320,Hamblen County,45,Morristown West High,All Students,331,99,19.6,20,20.7,20.2,20.3,144,43.5,142,42.9
320,Hamblen County,45,Morristown West High,Black/Hispanic/Native American,87,99,17.3,18.6,18.8,18.8,18.5,27,31,51,58.6
320,Hamblen County,45,Morristown West High,Economically Disadvantaged,130,98,17.5,18.1,18.6,18.1,18.2,36,27.7,78,60
320,Hamblen County,45,Morristown West High,English Learners,14,100,11.8,15.2,13,15.1,13.9,**,**,**,**
320,Hamblen County,45,Morristown West High,Students with Disabilities,24,100,12.8,15.8,15.5,15.4,15,**,**,**,**
330,Hamilton County,21,Brainerd High School,All Students,125,94,13,15.4,15,15.7,14.9,7,5.6,112,89.6
330,Hamilton County,21,Brainerd High School,Black/Hispanic/Native American,120,94,13,15.4,15.1,15.7,14.9,7,5.8,107,89.2
330,Hamilton County,21,Brainerd High School,Economically Disadvantaged,102,93,12.9,15.5,15.2,15.7,15,6,5.9,90,88.2
330,Hamilton County,21,Brainerd High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,21,Brainerd High School,Students with Disabilities,14,100,11.9,14.6,13.5,14.2,13.6,**,**,**,**
330,Hamilton County,40,Central High School,All Students,179,98,17.3,17.1,18.8,18.3,18.1,43,24,106,59.2
330,Hamilton County,40,Central High School,Black/Hispanic/Native American,97,98,16.5,16.7,17.9,17.5,17.3,18,18.6,67,69.1
330,Hamilton County,40,Central High School,Economically Disadvantaged,70,96,15.4,16.4,17,17,16.6,9,12.9,50,71.4
330,Hamilton County,40,Central High School,English Learners,4,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,40,Central High School,Students with Disabilities,18,100,11.8,14.8,14.2,15.9,14.3,**,**,**,**
330,Hamilton County,45,Chatt High Center For Creative Arts,All Students,77,100,25.8,23.1,26.8,24.3,25.2,63,81.8,7,9.1
330,Hamilton County,45,Chatt High Center For Creative Arts,Black/Hispanic/Native American,25,100,22.5,20.8,23.4,21.5,22.3,16,64,6,24
330,Hamilton County,45,Chatt High Center For Creative Arts,Economically Disadvantaged,9,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,45,Chatt High Center For Creative Arts,English Learners,2,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,45,Chatt High Center For Creative Arts,Students with Disabilities,4,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,46,Chattanooga School For Arts And Sciences Upper,All Students,104,99,24.2,22.7,25.3,23.4,24.1,74,71.2,17,16.3
330,Hamilton County,46,Chattanooga School For Arts And Sciences Upper,Black/Hispanic/Native American,39,98,20.4,20.4,22.8,21.4,21.5,20,51.3,10,25.6
330,Hamilton County,46,Chattanooga School For Arts And Sciences Upper,Economically Disadvantaged,19,95,21,20.2,23.5,22.5,22.1,11,57.9,5,26.3
330,Hamilton County,46,Chattanooga School For Arts And Sciences Upper,Students with Disabilities,4,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,59,East Hamilton School,All Students,213,96,21.1,20.3,22.7,21.6,21.6,115,54,66,31
330,Hamilton County,59,East Hamilton School,Black/Hispanic/Native American,59,95,18.4,18.4,20.1,19.3,19.2,20,33.9,27,45.8
330,Hamilton County,59,East Hamilton School,Economically Disadvantaged,43,96,17.8,18.2,19.9,19.2,18.9,14,32.6,21,48.8
330,Hamilton County,59,East Hamilton School,Students with Disabilities,12,92,13,15.5,15,17.4,15.4,1,8.3,10,83.3
330,Hamilton County,70,East Ridge High School,All Students,181,98,14.7,16.6,16.3,16.9,16.3,24,13.3,128,70.7
330,Hamilton County,70,East Ridge High School,Black/Hispanic/Native American,121,99,13.8,16.2,15.5,16.2,15.6,10,8.3,96,79.3
330,Hamilton County,70,East Ridge High School,Economically Disadvantaged,115,100,14.3,16.3,16,16.4,15.9,13,11.3,88,76.5
330,Hamilton County,70,East Ridge High School,English Learners,30,97,11.3,15.3,13.6,14.5,13.8,**,**,**,**
330,Hamilton County,70,East Ridge High School,Students with Disabilities,8,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,86,Hamilton County Collegiate High at Chattanooga State,All Students,40,98,26.2,22.8,28.3,24.5,25.7,**,**,**,**
330,Hamilton County,86,Hamilton County Collegiate High at Chattanooga State,Black/Hispanic/Native American,4,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,86,Hamilton County Collegiate High at Chattanooga State,Economically Disadvantaged,1,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,95,Hamilton County High School,All Students,8,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,95,Hamilton County High School,Black/Hispanic/Native American,2,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,95,Hamilton County High School,Economically Disadvantaged,4,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,128,Hixson High School,All Students,196,97,18.5,18.9,20.6,19.6,19.6,79,40.3,91,46.4
330,Hamilton County,128,Hixson High School,Black/Hispanic/Native American,70,93,15.6,16.8,17.9,17,17,15,21.4,47,67.1
330,Hamilton County,128,Hixson High School,Economically Disadvantaged,71,93,15.4,16.7,17.5,16.8,16.7,12,16.9,50,70.4
330,Hamilton County,128,Hixson High School,English Learners,9,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,128,Hixson High School,Students with Disabilities,23,96,13.6,16.2,17.8,16.4,16.3,3,13,18,78.3
330,Hamilton County,137,The Howard School,All Students,175,90,12.3,15.1,14.4,15.1,14.3,**,**,**,**
330,Hamilton County,137,The Howard School,Black/Hispanic/Native American,172,91,12.2,15.1,14.3,15,14.3,**,**,**,**
330,Hamilton County,137,The Howard School,Economically Disadvantaged,128,88,12.5,15.2,14.7,15.3,14.5,**,**,**,**
330,Hamilton County,137,The Howard School,English Learners,55,95,10.7,14.5,12.7,13.7,13.1,**,**,**,**
330,Hamilton County,137,The Howard School,Students with Disabilities,16,84,11.6,14.6,13.8,14.2,13.8,**,**,**,**
330,Hamilton County,160,Ooltewah High School,All Students,356,97,19.2,19.2,20.8,20.9,20.2,154,43.3,146,41
330,Hamilton County,160,Ooltewah High School,Black/Hispanic/Native American,128,97,17.5,18.2,19,19.6,18.7,42,32.8,72,56.3
330,Hamilton County,160,Ooltewah High School,Economically Disadvantaged,80,100,16.8,17.6,18.4,18.8,18.1,23,28.8,48,60
330,Hamilton County,160,Ooltewah High School,English Learners,14,74,14.1,15.7,14.1,18,15.7,1,7.1,13,92.9
330,Hamilton County,160,Ooltewah High School,Students with Disabilities,27,96,13.4,15.1,16.1,15.6,15.3,**,**,**,**
330,Hamilton County,165,Lookout Valley Middle / High School,All Students,35,100,19,18.6,19.5,19.3,19.2,13,37.1,16,45.7
330,Hamilton County,165,Lookout Valley Middle / High School,Black/Hispanic/Native American,12,100,16.3,16.3,17.7,17,16.9,1,8.3,9,75
330,Hamilton County,165,Lookout Valley Middle / High School,Economically Disadvantaged,15,100,16.3,16.9,17.9,17.8,17.3,3,20,11,73.3
330,Hamilton County,165,Lookout Valley Middle / High School,Students with Disabilities,4,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,175,Red Bank High School,All Students,159,97,17.1,18,18.9,18.5,18.3,49,30.8,90,56.6
330,Hamilton County,175,Red Bank High School,Black/Hispanic/Native American,72,96,14.9,16.6,16.1,16.3,16.1,8,11.1,57,79.2
330,Hamilton County,175,Red Bank High School,Economically Disadvantaged,81,96,16.2,17.1,17.6,17.4,17.2,18,22.2,52,64.2
330,Hamilton County,175,Red Bank High School,English Learners,18,90,11.9,14.8,12.8,14,13.6,**,**,**,**
330,Hamilton County,175,Red Bank High School,Students with Disabilities,16,100,13.6,15.7,16.1,14.8,15.2,1,6.3,14,87.5
330,Hamilton County,190,Sale Creek Middle / High School,All Students,73,100,20.5,19.8,21.3,20.8,20.8,39,53.4,17,23.3
330,Hamilton County,190,Sale Creek Middle / High School,Black/Hispanic/Native American,7,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,190,Sale Creek Middle / High School,Economically Disadvantaged,18,100,18.2,17.7,19.9,19.2,19,7,38.9,7,38.9
330,Hamilton County,190,Sale Creek Middle / High School,Students with Disabilities,6,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,196,Sequoyah High School,All Students,78,100,14.8,16.3,16.6,16.3,16.2,8,10.3,60,76.9
330,Hamilton County,196,Sequoyah High School,Black/Hispanic/Native American,9,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,196,Sequoyah High School,Economically Disadvantaged,36,100,14.6,16.2,16.1,16.4,15.9,3,8.3,29,80.6
330,Hamilton County,196,Sequoyah High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,196,Sequoyah High School,Students with Disabilities,26,100,12.8,15.1,15.3,15.1,14.7,**,**,**,**
330,Hamilton County,210,Signal Mountain Middle/High School,All Students,146,100,26,24.1,27,25.3,25.8,129,88.4,13,8.9
330,Hamilton County,210,Signal Mountain Middle/High School,Black/Hispanic/Native American,8,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,210,Signal Mountain Middle/High School,Economically Disadvantaged,4,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,210,Signal Mountain Middle/High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,210,Signal Mountain Middle/High School,Students with Disabilities,9,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,220,Soddy Daisy High School,All Students,287,99,20.2,21,21.3,20.9,21,156,54.4,90,31.4
330,Hamilton County,220,Soddy Daisy High School,Black/Hispanic/Native American,18,100,18.8,20.3,20.9,19.3,20.1,12,66.7,6,33.3
330,Hamilton County,220,Soddy Daisy High School,Economically Disadvantaged,74,100,18.3,19.1,20,19.9,19.5,26,35.1,35,47.3
330,Hamilton County,220,Soddy Daisy High School,Students with Disabilities,26,100,14.3,17.7,16.7,17.2,16.6,4,15.4,20,76.9
330,Hamilton County,237,Tyner Academy,All Students,112,98,14.1,16.4,15.8,16.5,15.9,6,5.4,95,84.8
330,Hamilton County,237,Tyner Academy,Black/Hispanic/Native American,109,98,13.8,16.2,15.5,16.3,15.6,**,**,**,**
330,Hamilton County,237,Tyner Academy,Economically Disadvantaged,80,100,14.2,16.6,15.9,16.5,16,4,5,67,83.8
330,Hamilton County,237,Tyner Academy,English Learners,9,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,237,Tyner Academy,Students with Disabilities,6,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,275,Hamilton County Virtual School,All Students,5,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,275,Hamilton County Virtual School,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,275,Hamilton County Virtual School,Economically Disadvantaged,1,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,280,STEM School Chattanooga,All Students,64,100,23.9,22.2,25.2,23.7,24,46,71.9,13,20.3
330,Hamilton County,280,STEM School Chattanooga,Black/Hispanic/Native American,22,100,20.2,19.3,21.6,20.4,20.6,11,50,9,40.9
330,Hamilton County,280,STEM School Chattanooga,Economically Disadvantaged,9,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,280,STEM School Chattanooga,English Learners,1,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,280,STEM School Chattanooga,Students with Disabilities,9,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,8001,Chattanooga Girls Leadership Academy,All Students,32,100,21.9,20.5,20.7,19.6,20.8,13,40.6,9,28.1
330,Hamilton County,8001,Chattanooga Girls Leadership Academy,Black/Hispanic/Native American,32,100,21.9,20.5,20.7,19.6,20.8,13,40.6,9,28.1
330,Hamilton County,8001,Chattanooga Girls Leadership Academy,Economically Disadvantaged,24,100,21.5,20.8,20.9,19.6,20.9,10,41.7,6,25
330,Hamilton County,8001,Chattanooga Girls Leadership Academy,English Learners,3,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,8001,Chattanooga Girls Leadership Academy,Students with Disabilities,2,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,8002,Ivy Academy Inc.,All Students,17,100,17.5,18.6,20.2,20.2,19.3,7,41.2,10,58.8
330,Hamilton County,8002,Ivy Academy Inc.,Black/Hispanic/Native American,2,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,8002,Ivy Academy Inc.,Economically Disadvantaged,5,*,*,*,*,*,*,*,*,*,*
330,Hamilton County,8002,Ivy Academy Inc.,Students with Disabilities,3,*,*,*,*,*,*,*,*,*,*
340,Hancock County,25,Hancock High School,All Students,56,100,17.3,17.4,18.8,18.6,18.2,19,33.9,34,60.7
340,Hancock County,25,Hancock High School,Black/Hispanic/Native American,2,*,*,*,*,*,*,*,*,*,*
340,Hancock County,25,Hancock High School,Economically Disadvantaged,33,100,16.1,17.3,17.9,18.2,17.5,10,30.3,23,69.7
340,Hancock County,25,Hancock High School,Students with Disabilities,10,100,10.7,14.7,12.7,15,13.2,**,**,**,**
350,Hardeman County Schools,15,Central High School,All Students,149,99,16.4,17.3,17.5,17.9,17.5,32,21.5,100,67.1
350,Hardeman County Schools,15,Central High School,Black/Hispanic/Native American,92,99,14.7,16.1,15.7,16.5,16,8,8.7,76,82.6
350,Hardeman County Schools,15,Central High School,Economically Disadvantaged,79,99,14.7,16.2,15.7,16.4,16,6,7.6,64,81
350,Hardeman County Schools,15,Central High School,Students with Disabilities,7,*,*,*,*,*,*,*,*,*,*
350,Hardeman County Schools,40,Middleton High School,All Students,78,100,16.9,17.4,18.4,18.7,18,22,28.2,50,64.1
350,Hardeman County Schools,40,Middleton High School,Black/Hispanic/Native American,29,100,16.1,16.3,17.3,18,17.1,4,13.8,23,79.3
350,Hardeman County Schools,40,Middleton High School,Economically Disadvantaged,38,100,15.4,16.5,17.5,18.2,17,5,13.2,30,78.9
350,Hardeman County Schools,40,Middleton High School,Students with Disabilities,7,*,*,*,*,*,*,*,*,*,*
360,Hardin County,15,Hardin County High School,All Students,211,99,18,17.9,19.3,18.6,18.5,66,31.3,114,54
360,Hardin County,15,Hardin County High School,Black/Hispanic/Native American,17,100,13.3,15.1,14.4,16.4,15,1,5.9,14,82.4
360,Hardin County,15,Hardin County High School,Economically Disadvantaged,83,100,16.2,16.9,17.6,17.6,17.1,18,21.7,54,65.1
360,Hardin County,15,Hardin County High School,Students with Disabilities,27,100,12.1,15.2,15.7,15.1,14.7,2,7.4,24,88.9
370,Hawkins County,17,Cherokee High School,All Students,232,95,17.4,18.3,18.3,18.3,18.2,74,31.9,135,58.2
370,Hawkins County,17,Cherokee High School,Black/Hispanic/Native American,13,93,14.8,16.3,15.3,16.7,15.9,1,7.7,11,84.6
370,Hawkins County,17,Cherokee High School,Economically Disadvantaged,109,92,16,17.2,16.8,16.9,16.9,23,21.1,77,70.6
370,Hawkins County,17,Cherokee High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
370,Hawkins County,17,Cherokee High School,Students with Disabilities,35,95,11.7,15.1,12.5,14.6,13.7,**,**,**,**
370,Hawkins County,30,Clinch School,All Students,11,100,16,16.2,16.4,15.9,16.1,1,9.1,9,81.8
370,Hawkins County,30,Clinch School,Economically Disadvantaged,4,*,*,*,*,*,*,*,*,*,*
370,Hawkins County,30,Clinch School,Students with Disabilities,2,*,*,*,*,*,*,*,*,*,*
370,Hawkins County,105,Volunteer High School,All Students,266,95,18.2,18.2,19.5,18.7,18.8,84,31.6,145,54.5
370,Hawkins County,105,Volunteer High School,Black/Hispanic/Native American,14,100,17.4,16.8,18.9,18,18.1,3,21.4,9,64.3
370,Hawkins County,105,Volunteer High School,Economically Disadvantaged,98,93,16.5,17,18,17.2,17.3,20,20.4,68,69.4
370,Hawkins County,105,Volunteer High School,Students with Disabilities,23,92,13.7,15.5,16.3,15.6,15.5,2,8.7,20,87
380,Haywood County,40,Haywood High School,All Students,176,97,15.4,16.4,16.6,16.7,16.4,23,13.1,129,73.3
380,Haywood County,40,Haywood High School,Black/Hispanic/Native American,139,97,14.6,16,16,15.9,15.8,10,7.2,113,81.3
380,Haywood County,40,Haywood High School,Economically Disadvantaged,93,96,13.9,15.5,15.1,15.8,15.2,5,5.4,80,86
380,Haywood County,40,Haywood High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
380,Haywood County,40,Haywood High School,Students with Disabilities,16,100,11.8,14.8,11.9,15.6,13.7,**,**,**,**
390,Henderson County,15,Lexington High School,All Students,191,98,19.6,20.6,20.7,20.4,20.5,87,45.5,75,39.3
390,Henderson County,15,Lexington High School,Black/Hispanic/Native American,36,100,16.9,18,18.3,17.6,17.9,8,22.2,26,72.2
390,Henderson County,15,Lexington High School,Economically Disadvantaged,76,99,17.6,18.2,19.3,18.6,18.6,19,25,43,56.6
390,Henderson County,15,Lexington High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
390,Henderson County,15,Lexington High School,Students with Disabilities,26,96,14.2,16.3,17.5,17.2,16.5,4,15.4,21,80.8
390,Henderson County,39,Scotts Hill High School,All Students,109,99,19.4,19.3,21.2,20.3,20.2,45,41.3,49,45
390,Henderson County,39,Scotts Hill High School,Black/Hispanic/Native American,2,*,*,*,*,*,*,*,*,*,*
390,Henderson County,39,Scotts Hill High School,Economically Disadvantaged,43,98,17.6,18.3,19.3,19.3,18.8,13,30.2,25,58.1
390,Henderson County,39,Scotts Hill High School,Students with Disabilities,13,100,14.5,16.2,17.1,17.2,16.3,2,15.4,10,76.9
400,Henry County,25,Henry Co High School,All Students,330,100,20.1,19.4,20.6,20.2,20.2,142,43,146,44.2
400,Henry County,25,Henry Co High School,Black/Hispanic/Native American,44,100,16.3,17.2,16.7,18.2,17.4,9,20.5,29,65.9
400,Henry County,25,Henry Co High School,Economically Disadvantaged,141,100,18.4,18,19,18.6,18.7,42,29.8,82,58.2
400,Henry County,25,Henry Co High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
400,Henry County,25,Henry Co High School,Students with Disabilities,44,100,15.1,15.9,15.3,16.4,15.9,4,9.1,38,86.4
410,Hickman County,18,East Hickman High School,All Students,96,98,17.4,17.7,18.7,18.8,18.2,25,26,59,61.5
410,Hickman County,18,East Hickman High School,Black/Hispanic/Native American,11,92,12.8,16.5,14.8,16.2,15,1,9.1,10,90.9
410,Hickman County,18,East Hickman High School,Economically Disadvantaged,43,96,15.3,16.9,16.5,17.2,16.5,7,16.3,35,81.4
410,Hickman County,18,East Hickman High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
410,Hickman County,18,East Hickman High School,Students with Disabilities,16,94,14.4,16.8,15.7,17.9,16.3,1,6.3,12,75
410,Hickman County,30,Hickman Co Sr High School,All Students,109,98,20.2,18.8,21,20.4,20.3,49,45,48,44
410,Hickman County,30,Hickman Co Sr High School,Black/Hispanic/Native American,3,*,*,*,*,*,*,*,*,*,*
410,Hickman County,30,Hickman Co Sr High School,Economically Disadvantaged,41,100,18.5,17.6,19.8,19.7,19.1,15,36.6,23,56.1
410,Hickman County,30,Hickman Co Sr High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
410,Hickman County,30,Hickman Co Sr High School,Students with Disabilities,19,100,13.6,15.5,16.1,16.4,15.6,2,10.5,16,84.2
420,Houston County,13,Houston Co High School,All Students,90,99,17.7,18,18.6,18.7,18.4,27,30,53,58.9
420,Houston County,13,Houston Co High School,Black/Hispanic/Native American,13,100,15.2,16.6,15.6,17.4,16.3,1,7.7,12,92.3
420,Houston County,13,Houston Co High School,Economically Disadvantaged,31,97,15.1,16.3,16.9,16.8,16.5,4,12.9,24,77.4
420,Houston County,13,Houston Co High School,Students with Disabilities,12,100,13.9,16.2,16.5,17.2,16.1,2,16.7,10,83.3
430,Humphreys County,15,Mc Ewen High School,All Students,73,97,18.7,18.1,19.5,19.4,19.1,27,37,39,53.4
430,Humphreys County,15,Mc Ewen High School,Black/Hispanic/Native American,4,*,*,*,*,*,*,*,*,*,*
430,Humphreys County,15,Mc Ewen High School,Economically Disadvantaged,19,100,15.9,16.4,17.7,16.9,16.9,3,15.8,15,78.9
430,Humphreys County,15,Mc Ewen High School,Students with Disabilities,17,100,13.7,15.2,14.9,15.8,15.1,**,**,**,**
430,Humphreys County,20,Waverly Central High School,All Students,127,100,19.5,18.6,19.6,19.6,19.5,46,36.2,61,48
430,Humphreys County,20,Waverly Central High School,Black/Hispanic/Native American,13,100,17.1,16.2,18.1,18.3,17.5,3,23.1,8,61.5
430,Humphreys County,20,Waverly Central High School,Economically Disadvantaged,46,100,17.8,17,18.4,18.4,18,11,23.9,30,65.2
430,Humphreys County,20,Waverly Central High School,Students with Disabilities,19,100,14.1,15.1,15.5,16.1,15.5,**,**,**,**
440,Jackson County,5,Jackson County High School,All Students,79,100,17.9,17.5,18.3,18.4,18.2,21,26.6,50,63.3
440,Jackson County,5,Jackson County High School,Black/Hispanic/Native American,3,*,*,*,*,*,*,*,*,*,*
440,Jackson County,5,Jackson County High School,Economically Disadvantaged,38,100,16.5,16.7,17.3,17.8,17.2,8,21.1,26,68.4
440,Jackson County,5,Jackson County High School,Students with Disabilities,17,100,11.9,15.2,12.9,14.5,13.8,**,**,**,**
450,Jefferson County,20,Jefferson Co High School,All Students,476,97,19.4,19.4,20.3,19.9,19.9,187,39.3,217,45.6
450,Jefferson County,20,Jefferson Co High School,Black/Hispanic/Native American,49,98,16.2,17.2,18.4,18.1,17.7,9,18.4,34,69.4
450,Jefferson County,20,Jefferson Co High School,Economically Disadvantaged,188,97,17.2,18,18.4,18.2,18.1,39,20.7,118,62.8
450,Jefferson County,20,Jefferson Co High School,English Learners,13,93,11.9,15.9,14.2,16.5,14.8,**,**,**,**
450,Jefferson County,20,Jefferson Co High School,Students with Disabilities,37,97,11.7,15.1,13.1,15.1,14,2,5.4,35,94.6
460,Johnson County,15,Johnson Co High School,All Students,149,99,16.7,17.6,17.9,18.1,17.7,39,26.2,97,65.1
460,Johnson County,15,Johnson Co High School,Black/Hispanic/Native American,7,*,*,*,*,*,*,*,*,*,*
460,Johnson County,15,Johnson Co High School,Economically Disadvantaged,67,99,15.2,16.7,16.7,17,16.5,11,16.4,52,77.6
460,Johnson County,15,Johnson Co High School,English Learners,3,*,*,*,*,*,*,*,*,*,*
